country,total_fake,per_fake,total_jobs
us,730,6.85,10656
au,40,18.69,214
gb,23,0.96,2384
none,19,5.49,346
my,12,57.14,21
ca,12,2.63,457
qa,6,28.57,21
bh,5,55.56,9
in,4,1.45,276
pl,3,3.95,76
tw,2,50.00,4
ae,1,1.85,54
eg,1,1.92,52
id,1,7.69,13
pk,1,3.70,27
ph,1,0.76,132
br,1,2.78,36
sa,1,6.67,15
es,1,1.52,66
ee,1,1.39,72
za,1,2.50,40
cy,0,0.00,11
hk,0,0.00,77
tr,0,0.00,17
ie,0,0.00,114
lt,0,0.00,23
jp,0,0.00,20
nl,0,0.00,127
at,0,0.00,14
kr,0,0.00,10
fr,0,0.00,70
ru,0,0.00,20
th,0,0.00,10
pa,0,0.00,9
ke,0,0.00,7
mu,0,0.00,14
mx,0,0.00,18
ro,0,0.00,46
nz,0,0.00,333
fi,0,0.00,29
cn,0,0.00,15
dk,0,0.00,42
se,0,0.00,49
cl,0,0.00,2
ua,0,0.00,13
il,0,0.00,72
it,0,0.00,31
lv,0,0.00,6
iq,0,0.00,10
bg,0,0.00,17
be,0,0.00,117
cz,0,0.00,6
vi,0,0.00,3
mt,0,0.00,13
hu,0,0.00,14
bd,0,0.00,2
kw,0,0.00,2
lu,0,0.00,9
ng,0,0.00,10
rs,0,0.00,7
by,0,0.00,9
vn,0,0.00,4
de,0,0.00,383
zm,0,0.00,2
no,0,0.00,8
gr,0,0.00,940
ug,0,0.00,1
ch,0,0.00,15
tt,0,0.00,4
sd,0,0.00,1
sk,0,0.00,2
ar,0,0.00,9
sg,0,0.00,80
pt,0,0.00,18
pe,0,0.00,1
co,0,0.00,1
is,0,0.00,2
si,0,0.00,1
ma,0,0.00,1
am,0,0.00,2
tn,0,0.00,2
gh,0,0.00,1
al,0,0.00,1
hr,0,0.00,1
cm,0,0.00,1
sv,0,0.00,1
ni,0,0.00,4
lk,0,0.00,2
jm,0,0.00,1
kz,0,0.00,1
kh,0,0.00,1
