state,total_fake,per_fake,total_jobs
" tx",152,15.59,975
" ca",143,6.97,2051
" ny",68,5.40,1259
" ",57,2.66,2140
" md",35,32.11,109
" nsw",32,28.57,112
" fl",30,7.23,415
none,27,6.14,440
" ga",20,8.40,238
" oh",18,4.84,372
" il",18,4.25,424
" nc",17,7.56,225
" wa",14,8.09,173
" pa",13,4.11,316
" ky",12,13.04,92
" mi",11,3.85,286
" nv",10,8.85,113
" ma",9,2.80,321
" in",9,7.56,119
" al",7,10.77,65
" va",7,2.11,332
" on",7,2.97,236
" dc",7,2.54,276
" lnd",6,0.60,992
" nj",6,3.11,193
" mo",6,3.75,160
" ks",6,15.00,40
" co",6,4.48,134
" ct",6,5.00,120
" ms",5,29.41,17
" ne",5,16.13,31
" sc",5,6.33,79
" wi",4,2.63,152
" ab",4,6.45,62
" az",4,2.56,156
" da",4,50.00,8
" tn",4,2.94,136
" la",3,7.32,41
" qld",3,17.65,17
" mn",3,1.64,183
" sd",3,9.68,31
" ia",3,3.53,85
" ok",3,4.35,69
" abd",3,30.00,10
" mz",3,10.71,28
" 13",2,7.41,27
" or",2,1.07,187
" nd",2,8.70,23
" 16",2,100.00,2
" mt",2,20.00,10
